,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-06-03,SH601916,SH601818,SH601988,SZ000333,SH601618,SH601398,SH600018,SH601995,SH601169,SH601186,0.00687835831195116,-0.017907083,0.4,0.00607835831195116,1.0060783583119512,0.9820929,1.0060783583119512,0.0
1,2026-06-04,SH601916,SZ000333,SH600919,SH601988,SH601398,SH600905,SH600900,SH601818,SH600018,SH601985,-0.000851577497087419,-0.021441102,0.2,-0.001251577497087419,1.0048191732783813,0.9610358,1.0060783583119512,-0.001251577497087448
2,2026-06-05,SH601916,SH601988,SH601818,SH600919,SH601398,SH600018,SH600900,SZ000333,SH601939,SH601236,0.0033844292629510164,0.018705249,0.2,0.0029844292629510162,1.0078179850230877,0.9790122,1.0078179850230877,0.0
3,2026-06-08,SH601916,SH600919,SH601818,SH601939,SH601988,SH601166,SH601169,SH600900,SZ000333,SH601398,0.013651430606842041,-0.011083305,0.2,0.013251430606842042,1.0211730151159486,0.9681615,1.0211730151159486,0.0
4,2026-06-09,SH600919,SH601818,SH601939,SH600900,SZ000333,SH601166,SH601988,SH601328,SH600377,SH601916,-0.0006911933305673301,-0.005513251,0.3,-0.00129119333056733,1.0198544833294756,0.9628238,1.0211730151159486,-0.0012911933305672961
5,2026-06-10,SH600919,SH601916,SH601818,SH601328,SH600036,SZ000333,SH601166,SZ000001,SH600900,SH601838,0.011724799871444702,0.011627674,0.2,0.011324799871444703,1.0314041312511777,0.9740192,1.0314041312511777,0.0
6,2026-06-11,SH600919,SH601328,SH601818,SH600900,SH601916,SZ000333,SH601658,SH601169,SZ000001,SH600036,-0.013944459147751331,0.023944378,0.3,-0.014544459147751331,1.016402915999373,0.9973415,1.0314041312511777,-0.014544459147751272
7,2026-06-12,SH600900,SH601916,SH601818,SH600919,SH601658,SH600016,SZ000001,SZ000333,SH601985,SH601838,-0.012810051441192627,-0.0015291572,0.4,-0.013610051441192627,1.0025696200276433,0.9958164,1.0314041312511777,-0.027956559751758796
8,2026-06-15,SH601916,SH601818,SH600900,SH600018,SH601985,SH600016,SH600919,SH601169,SH600015,SH601668,-0.0034681677352637053,0.009655595,0.4,-0.004268167735263706,0.9982904847230857,1.0054317,1.0314041312511777,-0.032105404200701085
9,2026-06-16,SH601916,SH601985,SH601818,SH600900,SH600036,SH601169,SH600016,SH601766,SH601838,SH601229,-0.021713262423872948,0.002070427,0.4,-0.022513262423872946,0.9758157090652595,1.0075133,1.0314041312511777,-0.05389586923457916
10,2026-06-17,SH601916,SH601985,SH601818,SZ000100,SH601169,SH600900,SH600016,SH601668,SH600018,SH600919,0.0037207186687737703,0.023890972,0.4,0.0029207186687737704,0.9786657922240092,1.0315838,1.0314041312511777,-0.05113256523724855
11,2026-06-18,SH601985,SH601916,SH601818,SH600919,SH601688,SH601939,SZ002236,SH600016,SH601668,SH601618,-0.0028645575512200594,-0.027723253,0.6,-0.004064557551220059,0.9746879487881044,1.0029849,1.0314041312511777,-0.05498929153432024
