,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-06-03,SH688126,SH601916,SZ301269,SH601818,SH688008,SZ300274,SH601988,SH688256,SH600584,SH688041,-0.029457103461027145,-0.017907083,0.5,-0.030457103461027146,0.9695428965389729,0.9820929,0.9695428965389729,0.0
1,2026-06-04,SH688303,SH688256,SH601916,SZ301269,SH688126,SZ300274,SZ002459,SH601012,SZ000333,SH600919,-0.026166092604398727,-0.021441102,0.6,-0.027366092604398727,0.9430102958483504,0.9610358,0.9695428965389729,-0.027366092604398685
2,2026-06-05,SH600426,SZ300274,SH601916,SZ301269,SH688223,SH601988,SH601818,SZ002938,SH600919,SH601398,0.017425160855054855,0.018705249,1.0,0.015425160855054855,0.957556381349784,0.9790122,0.9695428965389729,-0.012363058129741021
3,2026-06-08,SZ002466,SZ300347,SH600183,SZ300394,SZ002460,SZ300408,SZ000975,SH600011,SZ300782,SH688008,-0.0235438235104084,-0.011083305,0.6,-0.0247438235104084,0.9338627752483997,0.9681615,0.9695428965389729,-0.03680097231173819
4,2026-06-09,SZ002466,SZ300782,SH600346,SH600989,SH600426,SZ300347,SZ002460,SZ301269,SH688041,SH600919,0.008888649754226208,-0.005513251,0.8,0.007288649754226208,0.9406693739356948,0.9628238,0.9695428965389729,-0.02978055195530731
5,2026-06-10,SZ300347,SH601012,SZ300394,SZ002459,SH688506,SH688223,SZ300308,SZ300433,SZ000338,SZ300782,-0.0005270958063192666,0.011627674,0.5,-0.0015270958063192666,0.9392328816796247,0.9740192,0.9695428965389729,-0.03126217000562571
6,2026-06-11,SZ300347,SZ300394,SZ300308,SH600919,SZ000725,SZ300782,SZ000338,SZ002463,SH601328,SH601818,0.03796159103512764,0.023944378,0.6,0.03676159103512764,0.9737605767626755,0.9973415,0.9737605767626755,0.0
7,2026-06-12,SZ300782,SZ300394,SZ000725,SZ300347,SH600426,SZ300433,SH600346,SZ002938,SH600584,SH600900,0.012472307309508324,-0.0015291572,0.7,0.011072307309508323,0.9845423531144758,0.9958164,0.9845423531144758,0.0
8,2026-06-15,SZ300782,SZ300347,SH601916,SH600989,SH601818,SH600900,SH600018,SH601985,SH600188,SH600016,-0.001386153744533658,0.009655595,0.5,-0.002386153744533658,0.9821930836919397,1.0054317,0.9845423531144758,-0.002386153744533677
9,2026-06-16,SH600026,SZ300347,SH600188,SH600989,SH601916,SH601985,SH601012,SZ002459,SZ300498,SH600547,-0.022623533383011818,0.002070427,0.4,-0.023423533383011817,0.9591866512075182,1.0075133,0.9845423531144758,-0.025753794975653412
10,2026-06-17,SH600026,SZ300347,SH600188,SH600426,SH688223,SH601012,SH688472,SH601916,SZ000975,SH600547,0.026678884401917458,0.023890972,0.4,0.02587888440191746,0.98400933167398,1.0315838,0.9845423531144758,-0.0005413900568215096
11,2026-06-18,SZ300418,SH600188,SH688223,SH601012,SZ300782,SZ300347,SZ300251,SH688472,SZ000975,SH600893,-0.03264458850026131,-0.027723253,0.8,-0.034244588500261304,0.9503123370303873,1.0029849,0.9845423531144758,-0.034767438877368904
12,2026-06-22,SZ300033,SZ300347,SH600426,SH600346,SZ300803,SH600026,SZ300059,SZ300418,SZ002625,SH600030,0.006421959493309259,0.0048035383,0.9,0.004621959493309259,0.9547046421581338,1.0078027,0.9845423531144758,-0.03030617307823699
13,2026-06-23,SZ000975,SZ002938,SH600426,SH600188,SH600547,SH688223,SZ300408,SH601600,SZ000876,SH600845,0.0014642656315118074,0.015593648,0.4,0.0006642656315118074,0.9553388196401643,1.0235181,0.9845423531144758,-0.02966203879592359
14,2026-06-24,SH688223,SZ300408,SH600845,SZ000975,SH600547,SH688472,SH600188,SZ000786,SH600183,SZ000630,-0.0348777249455452,-0.030254364,0.5,-0.0358777249455452,0.9210634362393126,0.9925522,0.9845423531144758,-0.0644755572722246
15,2026-06-25,SZ002920,SZ000975,SH600188,SZ300408,SH601898,SH600547,SH601600,SH600989,SZ300782,SH600845,0.014078497886657715,0.012057781,0.7,0.012678497886657715,0.9327411370691504,1.0045202,0.9845423531144758,-0.052614512602183916
16,2026-06-26,SZ000975,SH600183,SZ300782,SH688223,SH600875,SZ300408,SZ000807,SZ002384,SZ002625,SZ000630,0.013705569319427013,0.010657787,0.6,0.012505569319427014,0.9444055960158497,1.0152261,0.9845423531144758,-0.040766917717311495
17,2026-06-30,SH601872,SH600026,SH601898,SZ000975,SH601689,SZ000338,SH600183,SZ002625,SZ300433,SZ000807,-0.016266029328107834,-0.029578567,0.7,-0.017666029328107832,0.9277216990590046,0.9851972,0.9845423531144758,-0.05771275748140872
18,2026-07-01,SH600183,SZ300274,SH601872,SH600026,SH600522,SZ000876,SH603392,SH688082,SH600426,SZ300394,0.01117598358541727,0.00620687,0.7,0.00977598358541727,0.9367910911608408,0.9913122,0.9845423531144758,-0.0485009728657989
19,2026-07-02,SH603986,SH600522,SZ300433,SH688082,SH600183,SH600584,SZ300408,SZ301269,SH688041,SH688012,0.011698609218001366,-3.504753e-05,0.7,0.010298609218001365,0.9464387365276113,0.99127746,0.9845423531144758,-0.038701856214035345
20,2026-07-03,SH600460,SH600584,SH688396,SH603986,SZ300408,SH688126,SH600160,SZ300394,SZ002920,SZ002384,0.008995264768600464,-0.010272622,0.7,0.007595264768600464,0.9536271893187982,0.9810944,0.9845423531144758,-0.03140054229041683
21,2026-07-10,SZ300274,SZ300408,SH600176,SH603986,SZ002625,SZ002709,SH600160,SZ300661,SZ000807,SZ002422,0.044035572558641434,0.021535993,0.7,0.042635572558641435,0.9942856305428931,1.0022233,0.9942856305428931,0.0
22,2026-07-14,SH688072,SH688396,SH688012,SZ002532,SZ300408,SH601600,SH603986,SZ300274,SZ300433,SH600188,-0.05016372725367546,-0.018457115,0.7,-0.05156372725367546,0.9430165574773307,0.98372513,0.9942856305428931,-0.05156372725367538
23,2026-07-17,SZ300394,SZ300408,SZ000977,SZ300476,SH688126,SZ300661,SZ300308,SH688012,SZ002916,SZ300433,0.11635828018188477,0.030643702,0.5,0.11535828018188476,1.051801325730957,1.0138701,1.051801325730957,0.0
24,2026-07-20,SZ300476,SH688008,SZ300433,SZ300408,SH688126,SH688396,SZ002709,SZ300661,SH601689,SZ002353,-0.02389511466026306,-0.004639983,0.9,-0.02569511466026306,1.0247751700664833,1.0091658,1.051801325730957,-0.02569511466026317
25,2026-07-23,SZ002709,SZ300274,SZ002625,SZ002460,SH600111,SZ002384,SH603799,SH600219,SH605117,SH688223,0.026244496926665306,0.011451483,0.7,0.024844496926665308,1.050235193629723,1.0207222,1.051801325730957,-0.0014889999308051213
