,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-06-03,SH601916,SH601818,SH601988,SZ000333,SH601618,SH601398,SH600018,SH601995,SH601169,SH601186,SH600016,SH600919,SH600905,SH601939,SH601838,SZ000651,SH601059,SH601881,SH600900,SH600887,SH601298,SH601788,SH600061,SZ000100,SZ000166,SH601377,SH601328,SH601658,SH601607,SZ002142,0.004129213280975819,-0.017907083,0.36666666666666664,0.0033958799476424854,1.0033958799476426,0.9820929,1.0033958799476426,0.0
1,2026-06-04,SH601916,SZ000333,SH600919,SH601988,SH601398,SH600905,SH600900,SH601818,SH600018,SH601985,SH600674,SH601169,SH600887,SH601939,SZ000651,SZ000776,SH601328,SZ000100,SH600016,SZ000001,SH601186,SH601995,SH601318,SH600941,SH600377,SH600015,SH601229,SZ000538,SH601919,SH601377,-0.003234567353501916,-0.021441102,0.36666666666666664,-0.003967900686835249,0.9994145047464307,0.9610358,1.0033958799476426,-0.003967900686835229
2,2026-06-05,SH601916,SH601988,SH601818,SH600919,SH601398,SH600018,SH600900,SZ000333,SH601939,SH601236,SH601328,SH600377,SZ000651,SH600887,SH601377,SH600660,SH600015,SZ000001,SH600016,SH601166,SZ000063,SH601169,SH601088,SH601668,SH601658,SH601838,SH601298,SZ002142,SH600036,SH601186,0.004809876438230276,0.018705249,0.2,0.004409876438230276,1.0038217992229377,0.9790122,1.0038217992229377,0.0
3,2026-06-08,SH601916,SH600919,SH601818,SH601939,SH601988,SH601166,SH601169,SH600900,SZ000333,SH601398,SH601088,SH601328,SH600377,SH600015,SH600018,SH600036,SZ000001,SH600016,SH601658,SH600887,SZ000651,SZ002142,SH601838,SZ000895,SH600941,SH600926,SH601225,SH601668,SH600999,SH601919,0.009553206153213978,-0.011083305,0.2,0.009153206153213978,1.0130099870923155,0.9681615,1.0130099870923155,0.0
4,2026-06-09,SH600919,SH601818,SH601939,SH600900,SZ000333,SH601166,SH601988,SH601328,SH600377,SH601916,SH600036,SZ000001,SH601658,SH600016,SH601225,SH601816,SH601169,SH600018,SH600887,SH601668,SH601377,SH600015,SZ000538,SH601398,SH600941,SH601456,SH600030,SZ002142,SZ000651,SH601006,0.00015838543185964227,-0.005513251,0.16666666666666666,-0.00017494790147369105,1.0128327631209018,0.9628238,1.0130099870923155,-0.00017494790147373044
5,2026-06-10,SH600919,SH601916,SH601818,SH601328,SH600036,SZ000333,SH601166,SZ000001,SH600900,SH601838,SH601398,SH601816,SH601939,SH600015,SH600377,SH601169,SH601988,SH600000,SH600016,SH601658,SH600941,SH600018,SH601229,SZ000538,SH601225,SZ000651,SH600887,SH600999,SH601985,SZ002142,0.010661635547876358,0.011627674,0.16666666666666666,0.010328302214543025,1.0232936059912052,0.9740192,1.0232936059912052,0.0
6,2026-06-11,SH600919,SH601328,SH601818,SH600900,SH601916,SZ000333,SH601658,SH601169,SZ000001,SH600036,SH600016,SH601166,SH601816,SH601838,SH601298,SZ002142,SH601009,SH601398,SH600015,SH600000,SH601939,SH601229,SH601988,SH600377,SH600018,SZ000538,SH600600,SH600926,SH603195,SH601985,-0.015178922563791275,0.023944378,0.23333333333333334,-0.015645589230457942,1.0072835745697128,0.9973415,1.0232936059912052,-0.01564558923045785
7,2026-06-12,SH600900,SH601916,SH601818,SH600919,SH601658,SH600016,SZ000001,SZ000333,SH601985,SH601838,SH601939,SH601169,SH600036,SH600015,SH601328,SH601298,SH601668,SH600018,SH601816,SH600674,SH601229,SH600600,SH601166,SH601688,SH601825,SH600887,SH601988,SZ000651,SH601009,SH601607,-0.014654290862381458,-0.0015291572,0.16666666666666666,-0.014987624195714791,0.9921867868955457,0.9958164,1.0232936059912052,-0.030398723214466013
8,2026-06-15,SH601916,SH601818,SH600900,SH600018,SH601985,SH600016,SH600919,SH601169,SH600015,SH601668,SH601838,SH601939,SH600036,SH601688,SZ000001,SH600887,SH601988,SH601658,SH601607,SH601328,SH600999,SH601186,SH601398,SH601766,SH600030,SZ000333,SH600674,SH601825,SH601166,SH601298,-0.004379137419164181,0.009655595,0.2,-0.004779137419164181,0.987444989895493,1.0054317,1.0232936059912052,-0.03503258095802107
9,2026-06-16,SH601916,SH601985,SH601818,SH600900,SH600036,SH601169,SH600016,SH601766,SH601838,SH601229,SZ000001,SH601668,SH600015,SH601186,SH600919,SH600018,SH601328,SH601166,SH600674,SH601377,SH601939,SH600999,SZ000538,SH601607,SZ300832,SH601688,SZ000776,SH601658,SH601988,SH600000,-0.024037424474954605,0.002070427,0.3,-0.024637424474954605,0.9631168885337704,1.0075133,1.0232936059912052,-0.058806892865459766
