,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-06-03,SH601916,SH601818,SH601988,SZ000333,SH601618,SH601398,SH600018,SH601995,SH601169,SH601186,SH600016,SH600919,SH600905,SH601939,SH601838,SZ000651,SH601059,SH601881,SH600900,SH600887,SH601298,SH601788,SH600061,SZ000100,SZ000166,SH601377,SH601328,SH601658,SH601607,SZ002142,SH601318,SH600377,SZ000001,SH600795,SH600036,SH600015,SZ000538,SH600941,SZ000895,SH600918,SH601668,SH601236,SH600674,SH601456,SH601985,SZ000776,SH601166,SH601919,SH600999,SH601816,0.0025182366371154785,-0.017907083,0.14,0.0022382366371154786,1.0022382366371154,0.9820929,1.0022382366371154,0.0
1,2026-06-04,SH601916,SZ000333,SH600919,SH601988,SH601398,SH600905,SH600900,SH601818,SH600018,SH601985,SH600674,SH601169,SH600887,SH601939,SZ000651,SZ000776,SH601328,SZ000100,SH600016,SZ000001,SH601186,SH601995,SH601318,SH600941,SH600377,SH600015,SH601229,SZ000538,SH601919,SH601377,SH601668,SH600036,SH600795,SH601166,SH601607,SH601658,SH601618,SZ000895,SH600030,SH601288,SH600660,SZ000166,SZ002594,SH600061,SZ003816,SZ002142,SH600519,SH601838,SH601298,SH600999,-0.005254811141639948,-0.021441102,0.18,-0.005614811141639948,0.9966108582194677,0.9610358,1.0022382366371154,-0.005614811141640008
2,2026-06-05,SH601916,SH601988,SH601818,SH600919,SH601398,SH600018,SH600900,SZ000333,SH601939,SH601236,SH601328,SH600377,SZ000651,SH600887,SH601377,SH600660,SH600015,SZ000001,SH600016,SH601166,SZ000063,SH601169,SH601088,SH601668,SH601658,SH601838,SH601298,SZ002142,SH600036,SH601186,SH601225,SH600941,SH600999,SH601825,SH601006,SH601009,SH600030,SH600926,SH601607,SH601919,SZ000538,SH600061,SH601618,SH600795,SH600905,SZ000166,SH601985,SH601229,SZ000895,SH601816,0.0031331731006503105,0.018705249,0.12,0.0028931731006503103,0.9994942259462842,0.9790122,1.0022382366371154,-0.0027378826615499846
3,2026-06-08,SH601916,SH600919,SH601818,SH601939,SH601988,SH601166,SH601169,SH600900,SZ000333,SH601398,SH601088,SH601328,SH600377,SH600015,SH600018,SH600036,SZ000001,SH600016,SH601658,SH600887,SZ000651,SZ002142,SH601838,SZ000895,SH600941,SH600926,SH601225,SH601668,SH600999,SH601919,SH601377,SH600660,SZ003816,SH601456,SH600030,SH601006,SH601985,SH601825,SH601816,SH601077,SH601618,SH601607,SZ000538,SH601009,SH601229,SH600905,SH601298,SH600600,SH601318,SH603195,0.00997213926166296,-0.011083305,0.08,0.00981213926166296,1.0093014024824973,0.9681615,1.0093014024824973,0.0
4,2026-06-09,SH600919,SH601818,SH601939,SH600900,SZ000333,SH601166,SH601988,SH601328,SH600377,SH601916,SH600036,SZ000001,SH601658,SH600016,SH601225,SH601816,SH601169,SH600018,SH600887,SH601668,SH601377,SH600015,SZ000538,SH601398,SH600941,SH601456,SH600030,SZ002142,SZ000651,SH601006,SZ000895,SH601298,SH600999,SH601229,SH600926,SH601825,SH601607,SH601088,SH601838,SZ003816,SH600600,SH600050,SH601985,SH601009,SH601058,SH603195,SH601618,SZ002236,SZ002352,SH600660,-0.003033490153029561,-0.005513251,0.12,-0.0032734901530295612,1.005997464280032,0.9628238,1.0093014024824973,-0.003273490153029509
5,2026-06-10,SH600919,SH601916,SH601818,SH601328,SH600036,SZ000333,SH601166,SZ000001,SH600900,SH601838,SH601398,SH601816,SH601939,SH600015,SH600377,SH601169,SH601988,SH600000,SH600016,SH601658,SH600941,SH600018,SH601229,SZ000538,SH601225,SZ000651,SH600887,SH600999,SH601985,SZ002142,SH603195,SH601298,SH600600,SH600160,SH601058,SZ002422,SH601668,SH600030,SH600660,SZ002352,SH601607,SH601825,SH601009,SH601211,SH601006,SZ002625,SH600926,SH601456,SH601688,SZ002236,0.011170785874128342,0.011627674,0.12,0.010930785874128341,1.016993807151993,0.9740192,1.016993807151993,0.0
6,2026-06-11,SH600919,SH601328,SH601818,SH600900,SH601916,SZ000333,SH601658,SH601169,SZ000001,SH600036,SH600016,SH601166,SH601816,SH601838,SH601298,SZ002142,SH601009,SH601398,SH600015,SH600000,SH601939,SH601229,SH601988,SH600377,SH600018,SZ000538,SH600600,SH600926,SH603195,SH601985,SH600941,SH601668,SH600887,SH601825,SH600160,SZ002352,SH601225,SH600030,SH601607,SH601211,SH600999,SH601066,SH601058,SH601688,SH600674,SH601456,SH601288,SZ001965,SZ003816,SH601186,-0.008199742995202541,0.023944378,0.1,-0.008399742995202542,1.0084513205442038,0.9973415,1.016993807151993,-0.008399742995202448
7,2026-06-12,SH600900,SH601916,SH601818,SH600919,SH601658,SH600016,SZ000001,SZ000333,SH601985,SH601838,SH601939,SH601169,SH600036,SH600015,SH601328,SH601298,SH601668,SH600018,SH601816,SH600674,SH601229,SH600600,SH601166,SH601688,SH601825,SH600887,SH601988,SZ000651,SH601009,SH601607,SH600999,SH601225,SZ002142,SZ002352,SH600377,SH601398,SH600926,SH603195,SH600941,SZ000538,SH601211,SH600000,SH601377,SH601766,SZ000776,SH601186,SH601456,SZ001965,SH601066,SH600660,-0.011237726546823978,-0.0015291572,0.12,-0.011477726546823979,0.9968765920512139,0.9958164,1.016993807151993,-0.019781059588863892
8,2026-06-15,SH601916,SH601818,SH600900,SH600018,SH601985,SH600016,SH600919,SH601169,SH600015,SH601668,SH601838,SH601939,SH600036,SH601688,SZ000001,SH600887,SH601988,SH601658,SH601607,SH601328,SH600999,SH601186,SH601398,SH601766,SH600030,SZ000333,SH600674,SH601825,SH601166,SH601298,SH601229,SZ002142,SZ000776,SH603195,SH601009,SH600905,SH601211,SH600926,SH601816,SH600377,SH601377,SH601021,SH601225,SZ000538,SH600600,SH600941,SZ002352,SH600061,SZ300059,SH600050,-0.005317186005413532,0.009655595,0.2,-0.0057171860054135324,0.9911772631500144,1.0054317,1.016993807151993,-0.025385153597223695
9,2026-06-16,SH601916,SH601985,SH601818,SH600900,SH600036,SH601169,SH600016,SH601766,SH601838,SH601229,SZ000001,SH601668,SH600015,SH601186,SH600919,SH600018,SH601328,SH601166,SH600674,SH601377,SH601939,SH600999,SZ000538,SH601607,SZ300832,SH601688,SZ000776,SH601658,SH601988,SH600000,SH600926,SH601398,SH601618,SH600050,SH600905,SH600025,SH601825,SH600690,SH600030,SH601006,SH600377,SZ000166,SZ000333,SH603195,SZ001965,SH601009,SH600795,SZ001391,SH601211,SH600061,-0.0233420729637146,0.002070427,0.18,-0.0237020729637146,0.9676843073388578,1.0075133,1.016993807151993,-0.04848554579818183
10,2026-06-17,SH601916,SH601985,SH601818,SZ000100,SH601169,SH600900,SH600016,SH601668,SH600018,SH600919,SH601229,SH600036,SH601766,SH600015,SH601377,SH600377,SH601328,SH601607,SZ000333,SZ000001,SH601939,SZ000538,SH600905,SH601059,SH600030,SZ300832,SH601211,SH601166,SH600795,SH601456,SH600025,SH600926,SH601838,SH601658,SZ002142,SH601988,SH600050,SH601995,SZ001965,SH600690,SH601009,SH601688,SH601006,SH601398,SH603259,SH600061,SH601901,SH600941,SZ000166,SH603369,0.017736338078975677,0.023890972,0.18,0.01737633807897568,0.9844991170168973,1.0315838,1.016993807151993,-0.03195170895493892
