,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-06-03,SH688126,SH601916,SZ301269,SH601818,SH688008,SZ300274,SH601988,SH688256,SH600584,SH688041,SZ000333,SZ300251,SZ300782,SH601618,SH601012,SH601398,SH600018,SZ002459,SH601995,SH601169,SZ000617,SH600547,SH601390,SZ300661,SH600346,SH600803,SZ002709,SZ300498,SZ002252,SH601186,SH600016,SH601238,SH600919,SH600905,SH601939,SH601838,SZ002736,SZ002466,SH688506,SZ300316,SZ000651,SH600176,SZ000938,SH601059,SH601881,SZ002601,SH600900,SH600426,SH601877,SH600887,-0.008874488063156605,-0.017907083,0.36,-0.009594488063156605,0.9904055119368433,0.9820929,0.9904055119368433,0.0
1,2026-06-04,SH688303,SH688256,SH601916,SZ301269,SH688126,SZ300274,SZ002459,SH601012,SZ000333,SH600919,SH601988,SH601398,SH600905,SH600900,SH601818,SH600018,SH600346,SZ000977,SH600426,SZ000938,SH601985,SZ300347,SZ000975,SZ300661,SH600674,SH600803,SH601169,SH601857,SH601689,SH603260,SH600989,SZ002601,SH688223,SH600887,SZ300782,SZ300251,SH600176,SZ000617,SH601939,SZ000999,SZ000651,SZ002027,SZ000776,SH601328,SZ000100,SH600016,SH601238,SH600584,SZ300418,SZ000001,-0.022852923721075058,-0.021441102,0.36,-0.023572923721075056,0.9670587583510238,0.9610358,0.9904055119368433,-0.02357292372107506
2,2026-06-05,SH600426,SZ300274,SH601916,SZ301269,SH688223,SH601988,SH601818,SZ002938,SH600919,SH601398,SH600346,SH600018,SH600011,SH600900,SH688506,SZ000333,SH601012,SZ000938,SH600989,SZ000977,SZ000617,SZ300347,SZ300316,SH600584,SZ002475,SH601939,SZ002601,SZ002459,SH601236,SH601328,SZ000625,SH600377,SZ000651,SH600887,SH601377,SH600176,SH600660,SZ002241,SH600183,SH600015,SH688008,SH601857,SZ000001,SH600803,SH600016,SZ002466,SH601166,SZ000338,SZ000063,SH601169,0.019223438575863838,0.018705249,0.44,0.01834343857586384,0.984797941284087,0.9790122,0.9904055119368433,-0.005661893623542238
3,2026-06-08,SZ002466,SZ300347,SH600183,SZ300394,SZ002460,SZ300408,SZ000975,SH600011,SZ300782,SH688008,SH601916,SH688041,SZ300274,SZ000792,SH601012,SH600426,SH688223,SH600919,SH601818,SH600346,SZ301269,SH601939,SH601988,SZ000617,SH603392,SZ300418,SH600584,SZ002459,SH603986,SH688012,SH601166,SH601169,SH600900,SH688981,SZ002709,SH688506,SZ000333,SH601398,SH601088,SH600000,SH601138,SH688396,SH601328,SH600377,SZ300413,SZ300498,SZ300661,SZ300308,SH600015,SZ002916,-0.0037693404592573643,-0.011083305,0.4,-0.004569340459257365,0.9802980642067843,0.9681615,0.9904055119368433,-0.010205362963189508
4,2026-06-09,SZ002466,SZ300782,SH600346,SH600989,SH600426,SZ300347,SZ002460,SZ301269,SH688041,SH600919,SZ000617,SH601818,SZ002601,SH601939,SH600900,SZ300308,SZ000333,SH600000,SH601166,SH601988,SZ000975,SH688008,SH601328,SH603392,SH600377,SZ000661,SH600026,SH600372,SZ300413,SH601916,SH600036,SZ000001,SZ300274,SH601658,SZ000002,SH600016,SH600547,SH601225,SZ300476,SH601012,SZ300015,SH601816,SH601169,SZ000938,SH600018,SZ300498,SH688223,SZ002415,SZ300628,SH688256,-0.004336897283792496,-0.005513251,0.36,-0.005056897283792496,0.9753407975885899,0.9628238,0.9904055119368433,-0.015210652774733406
5,2026-06-10,SZ300347,SH601012,SZ300394,SZ002459,SH688506,SH688223,SZ300308,SZ300433,SZ000338,SZ300782,SH600919,SH601916,SH601818,SH600989,SH600426,SH688047,SZ000975,SH600584,SH600346,SZ301269,SH600438,SH603392,SZ000617,SH688256,SZ300274,SH601328,SH600188,SH600036,SZ000333,SZ300408,SH601166,SZ000001,SH600900,SH601838,SH601398,SZ002463,SH600026,SH601816,SZ300418,SZ002709,SH688008,SH601939,SH688396,SH600015,SH600377,SZ000792,SH601169,SH601988,SH600000,SH600016,0.008258444257080555,0.011627674,0.34,0.007578444257080555,0.9827323634547716,0.9740192,0.9904055119368433,-0.007747481601819977
6,2026-06-11,SZ300347,SZ300394,SZ300308,SH600919,SZ000725,SZ300782,SZ000338,SZ002463,SH601328,SH601818,SH600900,SH688223,SZ002384,SH601916,SZ000333,SH600026,SZ300408,SH601658,SH601169,SZ000001,SH600875,SH600036,SH688506,SH600016,SZ000617,SH601166,SZ300759,SZ002460,SH601816,SH600346,SZ002600,SZ000977,SZ002466,SH600426,SH601838,SH601298,SZ002938,SH601872,SZ300442,SH601698,SH600584,SH688256,SZ000792,SZ002459,SZ002142,SH601009,SH688008,SZ000786,SH601398,SH600015,0.024293743073940277,0.023944378,0.32,0.023653743073940275,1.0059776622903769,0.9973415,1.0059776622903769,0.0
7,2026-06-12,SZ300782,SZ300394,SZ000725,SZ300347,SH600426,SZ300433,SH600346,SZ002938,SH600584,SH600900,SH688506,SH601916,SH601818,SZ300502,SZ300442,SH600919,SZ002466,SZ300418,SH601658,SZ300408,SH600016,SH688223,SZ000999,SZ300803,SZ000001,SZ000333,SZ000876,SH601985,SH600845,SH601838,SH601939,SH601169,SH600036,SH600015,SZ002463,SZ000938,SH601872,SZ000792,SH601328,SH603799,SH688041,SZ301269,SH601298,SH601668,SZ002459,SH600026,SZ000975,SH600018,SH601816,SZ000338,-0.005745918955653906,-0.0015291572,0.5,-0.006745918955653906,0.9991914185093679,0.9958164,1.0059776622903769,-0.006745918955653854
8,2026-06-15,SZ300782,SZ300347,SH601916,SH600989,SH601818,SH600900,SH600018,SH601985,SH600188,SH600016,SH600919,SH601169,SH603993,SH605117,SH600015,SH601668,SH603260,SH688472,SZ300803,SH601012,SH601838,SH601939,SH688223,SH600036,SH601688,SH601877,SZ000001,SH603392,SH600887,SZ000977,SH601988,SH601658,SZ300015,SH600346,SZ002459,SZ000630,SH601607,SH688047,SH600426,SH601328,SZ300498,SZ300442,SZ000999,SH600999,SH601186,SZ300122,SH601398,SH600372,SH601766,SH600438,-0.0036396051291376352,0.009655595,0.36,-0.004359605129137635,0.9948353384762441,1.0054317,1.0059776622903769,-0.011076114541911746
9,2026-06-16,SH600026,SZ300347,SH600188,SH600989,SH601916,SH601985,SH601012,SZ002459,SZ300498,SH600547,SH601818,SH603260,SH600900,SZ000617,SH600845,SH600426,SH688047,SH688169,SZ000661,SH600372,SH600036,SZ300122,SH601169,SZ000876,SH600066,SZ000975,SZ000999,SH600016,SH601766,SH601838,SH601877,SZ300015,SH603392,SZ002714,SZ002938,SZ002709,SH601229,SZ000001,SH601668,SH600015,SH688223,SH601186,SH600919,SZ300251,SH600018,SZ300759,SZ300413,SH600489,SZ000338,SH601328,-0.016959402710199356,0.002070427,0.28,-0.017519402710199358,0.9774064175511412,1.0075133,1.0059776622903769,-0.02840147034098709
